date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-08-25 00:00:00,144.1,130.32,140.85,141.35,141.12,143.48,140.85,2.7,4.8,7.5,2026-08-24 21:20:06,2026-08-24 22:44:45
2026-08-25 01:00:00,156.3,136.59,139.49,145.6,140.46,139.03,139.38,8.2,7.6,15.3,2026-08-24 16:01:13,2026-08-24 23:44:32
2026-08-25 02:00:00,154.12,135.5,142.8,144.99,140.62,,138.63,9.4,20.2,28.5,2026-08-24 14:21:45,2026-08-24 23:55:01
2026-08-25 03:00:00,153.11,132.73,141.29,144.29,141.39,136.5,137.25,23.5,43.0,63.4,2026-08-24 14:19:59,2026-08-25 01:41:19
2026-08-25 04:00:00,151.86,133.3,140.86,144.38,138.03,138.5,137.62,9.1,21.1,29.8,2026-08-24 14:37:11,2026-08-25 02:29:31
2026-08-25 05:00:00,157.18,134.1,142.76,147.1,144.6,142.67,142.69,5.8,24.5,30.0,2026-08-24 15:19:05,2026-08-25 03:34:05
2026-08-25 06:00:00,182.85,146.17,171.92,181.57,162.3,,160.72,7.9,27.3,35.1,2026-08-24 14:14:57,2026-08-25 03:55:55
2026-08-25 07:00:00,186.1,156.8,173.19,173.17,161.15,166.99,169.48,16.5,65.3,79.8,2026-08-24 14:30:44,2026-08-25 05:42:15
2026-08-25 08:00:00,192.63,152.56,170.98,167.58,153.29,172.24,170.4,37.6,52.5,87.4,2026-08-24 14:16:13,2026-08-25 06:44:24
2026-08-25 09:00:00,181.23,123.61,150.04,135.76,140.46,146.63,149.42,87.7,180.2,262.7,2026-08-24 14:18:07,2026-08-25 07:38:38
2026-08-25 10:00:00,166.51,124.0,141.47,126.0,132.5,132.88,143.33,53.2,408.0,445.6,2026-08-24 14:14:58,2026-08-25 08:40:40
2026-08-25 11:00:00,142.17,69.82,121.46,69.82,130.25,119.46,120.78,25.7,41.8,60.7,2026-08-24 14:14:57,2026-08-25 09:40:11
2026-08-25 12:00:00,141.0,62.49,126.7,62.49,133.08,128.63,127.93,29.8,43.8,58.1,2026-08-24 14:14:57,2026-08-25 10:38:34
2026-08-25 13:00:00,141.0,83.5,123.99,96.85,111.22,124.28,124.6,27.7,39.5,63.7,2026-08-24 14:14:57,2026-08-25 11:44:45
2026-08-25 14:00:00,132.1,63.74,97.24,66.88,121.0,120.17,120.19,138.3,84.5,216.1,2026-08-24 14:14:57,2026-08-25 12:39:24
2026-08-25 15:00:00,140.01,57.36,101.47,109.03,112.78,117.52,123.56,384.0,277.8,563.2,2026-08-24 13:47:12,2026-08-25 13:06:31
2026-08-25 16:00:00,152.9,89.2,119.75,122.5,135.9,135.9,127.49,145.3,52.6,196.2,2026-08-24 14:14:57,2026-08-25 14:18:15
2026-08-25 17:00:00,189.28,122.85,151.84,122.85,152.25,168.51,153.36,222.1,207.2,402.5,2026-08-24 14:14:57,2026-08-25 15:29:21
2026-08-25 18:00:00,200.7,144.1,172.33,194.83,170.0,159.78,169.98,27.7,121.7,126.4,2026-08-24 14:14:57,2026-08-25 16:38:46
2026-08-25 19:00:00,229.1,147.4,207.4,202.23,217.73,218.61,211.74,86.2,104.1,161.8,2026-08-24 14:14:57,2026-08-25 17:44:39
2026-08-25 20:00:00,249.78,165.52,194.19,204.37,177.68,203.44,196.63,19.1,27.3,42.2,2026-08-24 14:14:57,2026-08-25 18:44:30
2026-08-25 21:00:00,219.4,147.6,181.0,189.12,183.51,161.46,181.8,13.6,29.4,40.5,2026-08-24 14:14:57,2026-08-25 19:42:18
2026-08-25 22:00:00,216.98,158.3,175.14,163.9,177.88,191.11,177.04,7.2,7.0,10.5,2026-08-24 19:50:21,2026-08-25 20:27:15
2026-08-25 23:00:00,186.29,138.7,150.71,186.29,142.25,148.24,148.36,23.9,10.7,29.8,2026-08-24 14:14:57,2026-08-25 21:29:28
2026-08-26 00:00:00,171.9,137.6,158.73,149.8,140.22,140.24,152.56,3.9,24.0,24.1,2026-08-25 15:32:42,2026-08-25 22:44:45
2026-08-26 01:00:00,165.92,136.9,150.97,148.0,165.92,151.63,148.74,6.6,25.0,27.0,2026-08-25 15:27:48,2026-08-25 23:26:57
2026-08-26 02:00:00,161.04,131.9,148.63,147.2,161.04,153.01,147.86,11.6,31.4,40.5,2026-08-25 15:28:25,2026-08-26 00:35:47
2026-08-26 03:00:00,159.66,136.75,147.63,147.1,149.1,147.5,146.06,20.6,34.8,49.8,2026-08-25 15:32:20,2026-08-26 01:25:01
2026-08-26 04:00:00,163.62,137.1,150.61,152.86,148.3,143.89,155.73,21.3,37.6,54.2,2026-08-25 16:06:29,2026-08-26 02:26:15
2026-08-26 05:00:00,191.8,140.47,163.58,154.5,164.72,168.9,160.64,11.8,39.5,50.6,2026-08-25 15:01:39,2026-08-26 03:43:00
2026-08-26 06:00:00,182.37,151.14,167.09,156.1,165.32,161.93,167.39,10.5,17.8,18.7,2026-08-25 16:03:15,2026-08-26 04:44:46
2026-08-26 07:00:00,193.34,163.96,175.06,164.06,168.12,168.57,177.1,14.0,11.9,14.3,2026-08-25 14:21:33,2026-08-26 05:42:00
2026-08-26 08:00:00,207.65,152.71,185.99,183.8,152.71,167.16,187.64,51.6,32.9,64.5,2026-08-25 14:50:52,2026-08-26 06:42:30
2026-08-26 09:00:00,166.8,144.41,154.97,150.35,154.4,154.91,155.81,5.1,12.8,17.5,2026-08-25 17:19:03,2026-08-26 07:29:40
2026-08-26 10:00:00,184.08,131.29,149.62,141.28,140.9,144.6,146.92,30.6,74.2,94.4,2026-08-25 15:27:49,2026-08-26 08:40:04
2026-08-26 11:00:00,151.4,101.0,137.68,132.33,101.0,117.04,137.21,35.3,138.3,173.6,2026-08-25 16:29:03,2026-08-26 09:41:01
2026-08-26 12:00:00,141.0,101.23,129.17,134.34,128.59,137.02,129.01,7.7,32.5,36.0,2026-08-26 03:36:39,2026-08-26 10:40:53
2026-08-26 13:00:00,137.03,107.8,129.94,133.9,132.1,131.47,130.04,19.7,19.4,31.3,2026-08-25 18:27:10,2026-08-26 11:40:04
2026-08-26 14:00:00,141.09,121.45,129.13,121.45,128.44,128.52,131.07,9.6,8.3,13.8,2026-08-25 19:24:55,2026-08-26 12:40:16
2026-08-26 15:00:00,141.9,117.26,128.35,135.6,133.0,129.22,130.34,86.9,55.6,115.9,2026-08-25 17:28:55,2026-08-26 13:43:20
2026-08-26 16:00:00,156.3,96.29,120.86,124.95,127.69,116.05,114.93,149.4,56.2,185.9,2026-08-25 14:20:11,2026-08-26 14:44:59
2026-08-26 17:00:00,170.48,135.5,147.93,160.2,135.5,148.8,144.8,148.3,111.5,247.4,2026-08-25 14:28:21,2026-08-26 15:29:55
2026-08-26 18:00:00,203.16,148.4,158.7,185.82,158.2,157.42,157.38,31.0,19.1,44.4,2026-08-25 14:20:11,2026-08-26 16:29:37
2026-08-26 19:00:00,229.88,167.88,200.86,168.38,196.36,203.84,204.33,112.9,51.2,151.7,2026-08-25 14:20:22,2026-08-26 17:37:56
2026-08-26 20:00:00,210.17,161.21,187.3,201.7,167.5,175.4,181.77,82.1,22.8,92.4,2026-08-25 14:20:13,2026-08-26 18:44:38
2026-08-26 21:00:00,180.7,142.3,160.88,167.1,170.68,157.28,158.36,88.8,31.6,111.6,2026-08-26 01:23:07,2026-08-26 19:44:15
2026-08-26 22:00:00,171.05,118.42,146.0,152.78,139.47,148.03,145.17,81.1,33.8,107.9,2026-08-25 14:21:41,2026-08-26 20:42:54
2026-08-26 23:00:00,169.39,139.39,149.52,159.1,144.43,146.86,155.4,22.9,31.7,49.1,2026-08-26 10:44:09,2026-08-26 21:42:13
2026-08-27 00:00:00,159.9,125.12,152.72,150.8,140.96,140.68,150.35,58.6,110.3,167.1,2026-08-26 14:47:44,2026-08-26 22:29:21
2026-08-27 01:00:00,156.5,114.22,140.91,145.4,143.62,128.38,134.72,79.1,66.2,142.0,2026-08-26 15:04:54,2026-08-26 23:44:54
2026-08-27 02:00:00,148.83,126.88,138.68,142.85,137.3,135.81,134.83,76.0,68.7,144.6,2026-08-26 15:04:54,2026-08-27 00:40:10
2026-08-27 03:00:00,147.42,129.8,137.58,140.88,137.41,134.43,136.02,62.2,76.8,135.9,2026-08-26 15:04:54,2026-08-27 01:39:00
2026-08-27 04:00:00,159.56,110.19,139.3,135.83,159.54,151.81,140.02,52.1,64.1,114.0,2026-08-26 14:20:02,2026-08-27 02:26:11
2026-08-27 05:00:00,173.59,134.51,151.7,140.05,173.59,167.74,155.53,35.5,141.0,168.5,2026-08-26 14:20:02,2026-08-27 03:36:02
2026-08-27 06:00:00,174.41,131.12,158.68,152.03,173.28,,157.58,23.6,73.8,94.3,2026-08-26 14:29:26,2026-08-27 03:51:45
2026-08-27 07:00:00,199.68,129.4,169.16,171.65,164.85,162.05,168.55,22.1,57.4,79.0,2026-08-26 14:20:13,2026-08-27 05:44:35
2026-08-27 08:00:00,194.0,126.81,161.83,167.15,127.25,150.87,156.19,125.6,272.0,373.9,2026-08-26 14:20:41,2026-08-27 06:44:48
2026-08-27 09:00:00,169.28,118.04,148.75,138.7,131.0,132.47,150.29,69.3,199.8,252.9,2026-08-26 14:56:40,2026-08-27 07:44:27
2026-08-27 10:00:00,149.52,97.56,131.59,130.94,117.96,115.04,131.27,64.8,138.0,180.4,2026-08-27 04:55:16,2026-08-27 08:43:58
2026-08-27 11:00:00,123.91,90.69,115.45,120.4,110.19,108.3,115.45,6.6,11.8,11.8,2026-08-27 07:20:27,2026-08-27 09:39:59
2026-08-27 12:00:00,133.53,107.9,123.01,117.15,117.87,124.89,123.01,7.7,6.9,8.0,2026-08-27 09:25:00,2026-08-27 10:44:59
2026-08-27 13:00:00,108.0,87.38,96.68,107.9,106.26,94.08,96.42,12.2,12.3,12.3,2026-08-27 07:13:09,2026-08-27 11:40:02
2026-08-27 14:00:00,118.74,87.07,101.04,110.8,105.0,111.21,98.86,15.9,20.1,20.1,2026-08-27 07:20:19,2026-08-27 12:33:32
