date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date
2026-09-21 00:00:00,40.3,2.67,15.16,13.59,2.96,9.47,18.81,13.5,254.3,267.7,2026-09-20 16:33:59,2026-09-20 22:31:22
2026-09-21 01:00:00,40.01,0.0,20.58,25.41,22.92,17.22,8.4,20.4,162.6,173.2,2026-09-20 14:29:32,2026-09-20 23:41:02
2026-09-21 02:00:00,37.23,-2.3,4.63,37.23,13.0,5.95,6.44,8.1,113.6,119.0,2026-09-20 18:02:54,2026-09-21 00:25:00
2026-09-21 03:00:00,51.93,10.0,21.62,27.48,34.08,35.5,38.89,70.1,222.2,292.3,2026-09-20 14:22:18,2026-09-21 01:31:12
2026-09-21 04:00:00,62.45,3.1,26.53,44.88,27.0,28.22,34.35,42.9,200.8,239.7,2026-09-20 14:20:01,2026-09-21 02:44:45
2026-09-21 05:00:00,32.9,-3.58,8.62,8.07,28.37,24.35,11.69,3.4,21.0,23.7,2026-09-20 18:12:55,2026-09-21 03:42:09
2026-09-21 06:00:00,38.34,8.86,24.81,13.43,34.3,21.29,24.37,16.2,2.6,18.9,2026-09-20 16:18:49,2026-09-21 04:41:14
2026-09-21 07:00:00,41.0,7.4,26.97,15.8,37.75,21.65,20.31,4.9,0.6,5.4,2026-09-20 16:15:27,2026-09-21 05:40:33
2026-09-21 08:00:00,61.66,0.0,12.76,13.0,8.2,13.0,12.76,11.3,2.6,13.9,2026-09-21 04:55:33,2026-09-21 06:41:30
2026-09-21 09:00:00,47.57,6.81,30.25,39.6,36.08,21.89,24.96,24.1,1.3,25.3,2026-09-21 03:21:13,2026-09-21 07:41:39
2026-09-21 10:00:00,53.8,23.4,46.21,23.4,53.8,35.86,34.59,20.3,0.9,20.9,2026-09-20 15:15:14,2026-09-21 08:44:24
2026-09-21 11:00:00,79.5,29.35,50.39,40.93,67.1,58.48,50.39,0.4,3.5,3.8,2026-09-21 08:12:57,2026-09-21 09:40:57
2026-09-21 12:00:00,78.41,18.0,40.55,29.27,18.0,29.87,44.67,10.4,7.6,18.0,2026-09-21 07:52:11,2026-09-21 10:43:51
2026-09-21 13:00:00,46.71,7.36,32.43,21.43,29.85,30.97,34.0,4.8,3.0,7.6,2026-09-21 07:52:11,2026-09-21 11:40:04
2026-09-21 14:00:00,41.3,22.63,31.67,27.5,27.49,28.32,29.79,1.6,1.5,2.6,2026-09-21 08:03:17,2026-09-21 12:43:36
2026-09-21 15:00:00,66.7,11.06,35.4,38.79,29.65,22.95,20.85,1.4,1.4,2.2,2026-09-21 07:10:17,2026-09-21 13:40:04
2026-09-21 16:00:00,76.87,0.0,34.73,43.1,28.16,31.96,34.95,48.5,24.7,69.6,2026-09-20 15:15:16,2026-09-21 14:43:20
2026-09-21 17:00:00,70.99,17.09,38.85,45.77,28.94,29.35,37.61,5.6,2.3,7.7,2026-09-20 21:43:14,2026-09-21 15:26:13
2026-09-21 18:00:00,79.91,38.57,66.3,63.96,38.57,38.57,66.78,0.0,1.1,1.1,2026-09-21 10:11:59,2026-09-21 16:25:20
2026-09-21 19:00:00,89.85,23.81,52.76,50.02,66.81,58.28,52.51,1.0,4.6,5.6,2026-09-21 11:46:50,2026-09-21 17:17:16
2026-09-21 20:00:00,96.4,34.61,69.71,54.63,76.32,83.65,72.41,0.1,6.6,6.7,2026-09-21 12:13:30,2026-09-21 18:11:21
2026-09-21 21:00:00,96.01,40.0,76.27,81.91,44.59,65.59,76.27,0.4,5.3,5.6,2026-09-21 17:25:54,2026-09-21 19:29:40
2026-09-21 22:00:00,90.3,31.35,64.33,49.0,63.0,40.61,64.72,2.0,9.3,11.4,2026-09-21 17:10:22,2026-09-21 20:40:26
2026-09-21 23:00:00,61.13,16.09,42.87,32.4,36.92,51.15,44.92,0.1,1.4,1.5,2026-09-21 18:31:44,2026-09-21 21:40:30
2026-09-22 00:00:00,,,,,,,,0.0,0.0,0.0,,
2026-09-22 01:00:00,,,,,,,,0.0,0.0,0.0,,
2026-09-22 02:00:00,50.59,18.94,39.04,36.9,41.6,39.2,39.58,1.5,2.7,4.1,2026-09-21 21:23:15,2026-09-22 00:40:00
2026-09-22 03:00:00,67.76,25.53,52.05,54.0,64.28,60.0,54.31,0.3,8.4,8.6,2026-09-21 18:36:24,2026-09-22 01:40:58
2026-09-22 04:00:00,86.78,5.3,53.08,43.0,58.22,55.54,59.47,0.4,10.5,10.9,2026-09-21 18:30:06,2026-09-22 02:41:07
2026-09-22 05:00:00,91.67,26.56,58.41,44.1,81.0,71.04,61.77,8.0,19.7,27.6,2026-09-21 18:30:06,2026-09-22 03:36:09
2026-09-22 06:00:00,107.0,31.2,78.91,31.2,96.53,93.71,86.09,6.7,6.3,11.6,2026-09-21 23:11:11,2026-09-22 04:44:23
2026-09-22 07:00:00,209.84,52.56,111.02,117.3,172.1,106.62,111.78,110.6,13.4,122.9,2026-09-21 14:26:17,2026-09-22 05:41:13
2026-09-22 08:00:00,,,,,,,,0.0,0.0,0.0,,
2026-09-22 09:00:00,26.41,7.91,20.69,21.1,7.91,20.65,20.69,2.4,2.4,2.4,2026-09-22 06:56:48,2026-09-22 07:40:52
2026-09-22 10:00:00,27.53,8.34,24.2,24.03,8.34,19.27,24.2,6.2,6.2,6.2,2026-09-22 07:18:46,2026-09-22 08:40:33
2026-09-22 11:00:00,26.85,-20.0,18.81,24.0,-20.0,-3.53,18.81,13.2,13.2,13.2,2026-09-22 07:39:25,2026-09-22 09:21:33
2026-09-22 12:00:00,25.62,-10.0,20.02,22.72,14.49,15.67,20.02,19.3,19.3,19.3,2026-09-22 08:31:37,2026-09-22 10:40:00
2026-09-22 13:00:00,20.76,9.83,14.31,16.35,15.44,13.64,14.31,1.3,1.3,1.3,2026-09-22 10:55:00,2026-09-22 11:40:00
2026-09-22 14:00:00,25.85,7.89,18.81,16.1,25.48,19.14,18.81,1.5,1.5,1.5,2026-09-22 11:55:00,2026-09-22 12:40:01
2026-09-22 15:00:00,43.62,27.63,37.4,27.63,42.8,36.97,37.4,1.2,1.2,1.2,2026-09-22 12:55:01,2026-09-22 13:25:58
2026-09-22 16:00:00,,,,,,,,0.0,0.0,0.0,,
2026-09-22 17:00:00,34.78,34.78,34.78,34.78,34.78,,34.78,0.1,0.1,0.1,2026-09-22 14:55:59,2026-09-22 14:55:59
2026-09-22 18:00:00,,,,,,,,0.0,0.0,0.0,,
2026-09-22 19:00:00,48.22,14.75,31.08,23.85,40.48,34.57,35.14,0.3,2.7,3.1,2026-09-22 07:57:50,2026-09-22 17:25:58
