date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date,13
2026-06-27 00:00:00,390.75,-100.0,140.65,135.5,154.98,143.28,140.31,2658.1,2897.9,4748.0,2026-06-26 14:10:46,2026-06-26 23:39:08,
2026-06-27 01:00:00,218.72,98.8,130.71,132.26,154.59,130.82,129.99,2369.2,2581.4,4433.5,2026-06-26 14:17:44,2026-06-27 00:39:14,
2026-06-27 02:00:00,404.43,114.7,134.0,122.87,179.77,159.3,140.01,2025.8,2157.4,3641.9,2026-06-26 14:18:01,2026-06-27 01:39:15,
2026-06-27 03:00:00,194.95,104.65,128.68,121.01,129.29,137.84,132.21,2601.7,2870.0,4698.2,2026-06-26 14:18:14,2026-06-27 02:39:21,
2026-06-27 04:00:00,157.64,94.66,125.61,118.31,94.66,126.88,128.23,2636.5,2698.4,4644.5,2026-06-26 14:18:35,2026-06-27 03:39:40,
2026-06-27 05:00:00,163.98,88.01,121.01,116.99,99.3,116.28,121.17,2916.6,3013.4,5106.2,2026-06-26 14:18:51,2026-06-27 04:39:40,
2026-06-27 06:00:00,171.68,91.85,116.54,109.01,124.87,109.81,114.11,2911.5,2842.6,5006.3,2026-06-26 14:15:10,2026-06-27 05:38:41,
2026-06-27 07:00:00,249.89,88.2,117.14,112.08,129.0,125.32,118.33,3492.2,3451.4,6043.1,2026-06-26 14:19:18,2026-06-27 06:39:46,
2026-06-27 08:00:00,200.29,74.2,109.18,74.21,109.68,115.36,110.03,4012.6,3868.9,6869.2,2026-06-26 14:15:44,2026-06-27 07:38:56,
2026-06-27 09:00:00,184.42,32.78,97.03,40.86,112.55,103.44,99.34,3807.1,4152.9,6755.6,2026-06-26 14:06:48,2026-06-27 08:39:35,
2026-06-27 10:00:00,143.0,16.3,68.86,20.21,69.97,90.48,76.03,4709.7,5093.0,8327.0,2026-06-26 14:20:26,2026-06-27 09:39:08,
2026-06-27 11:00:00,219.78,4.5,51.95,14.34,140.0,81.81,60.55,4500.5,4794.3,8074.2,2026-06-26 14:21:19,2026-06-27 10:39:50,
2026-06-27 12:00:00,168.2,-4.29,37.81,-2.8,-2.8,57.21,46.42,5965.5,6321.6,10596.3,2026-06-26 14:12:15,2026-06-27 11:39:03,
2026-06-27 13:00:00,50.8,-9.51,20.41,1.99,3.0,7.54,22.38,6247.7,6502.9,11444.0,2026-06-26 14:06:49,2026-06-27 12:39:22,
2026-06-27 14:00:00,43.03,-9.8,17.12,5.1,28.22,3.06,12.81,5918.2,6288.5,10884.9,2026-06-26 14:12:18,2026-06-27 13:39:26,
2026-06-27 15:00:00,139.91,-0.9,37.49,3.6,87.64,50.22,38.61,6040.2,6548.0,11186.0,2026-06-26 14:08:42,2026-06-27 14:39:45,
2026-06-27 16:00:00,136.17,9.11,81.29,9.9,124.42,100.47,89.93,4789.6,5015.7,8768.7,2026-06-26 14:19:26,2026-06-27 15:39:32,
2026-06-27 17:00:00,239.8,7.54,116.22,69.96,86.61,122.43,119.93,4811.2,5007.3,8760.8,2026-06-26 14:06:50,2026-06-27 16:39:40,
2026-06-27 18:00:00,239.51,29.33,144.23,156.04,211.7,143.02,148.03,4460.3,4635.1,7967.8,2026-06-26 14:21:05,2026-06-27 17:39:43,
2026-06-27 19:00:00,313.46,121.11,197.65,182.04,292.1,202.74,207.25,6699.4,6694.4,11903.1,2026-06-26 14:20:02,2026-06-27 18:39:48,
2026-06-27 20:00:00,338.9,123.22,223.0,225.22,168.49,216.36,218.93,5994.9,6020.6,10734.7,2026-06-26 14:21:41,2026-06-27 19:39:28,
2026-06-27 21:00:00,299.96,101.18,218.4,219.2,196.1,190.9,208.16,7468.8,7489.1,13342.0,2026-06-26 14:21:53,2026-06-27 20:39:40,
2026-06-27 22:00:00,265.01,111.8,188.54,202.91,113.85,153.5,178.86,7045.2,7040.6,12752.9,2026-06-26 14:08:38,2026-06-27 21:39:40,
2026-06-27 23:00:00,200.78,70.21,147.09,153.02,107.5,126.78,137.09,4619.4,4782.0,8234.8,2026-06-26 14:20:30,2026-06-27 22:39:29,
2026-06-28 00:00:00,300.0,82.4,121.84,154.87,179.99,119.26,118.61,2917.0,3212.6,5166.2,2026-06-27 14:00:28,2026-06-27 23:39:56,
2026-06-28 01:00:00,146.2,60.07,111.96,138.55,80.0,110.44,109.73,2658.0,2916.6,4761.2,2026-06-27 14:00:31,2026-06-28 00:39:43,
2026-06-28 02:00:00,6999.95,-1.69,109.44,132.77,-1.56,107.91,108.77,2954.1,3046.3,5189.2,2026-06-27 14:00:32,2026-06-28 01:39:58,
2026-06-28 03:00:00,126.14,-1.07,99.9,126.13,105.0,85.06,95.55,3037.9,2891.4,5014.1,2026-06-27 14:00:35,2026-06-28 02:39:40,
2026-06-28 04:00:00,139.3,5.48,105.06,124.78,27.49,100.24,104.15,3321.4,3242.2,5614.6,2026-06-27 14:00:38,2026-06-28 03:39:32,
2026-06-28 05:00:00,125.46,-20.0,102.68,125.46,1.0,87.82,99.3,3374.9,3587.9,5996.7,2026-06-27 14:00:39,2026-06-28 04:39:46,
2026-06-28 06:00:00,196.6,20.0,101.66,125.97,108.81,95.21,99.28,3378.3,3744.7,5861.2,2026-06-27 14:00:42,2026-06-28 05:39:39,
2026-06-28 07:00:00,134.57,47.43,95.71,124.44,118.0,98.1,95.17,3311.6,3787.8,6118.2,2026-06-27 14:00:44,2026-06-28 06:39:38,
2026-06-28 08:00:00,195.81,22.61,77.46,118.32,139.99,73.88,78.95,3867.5,3935.7,6492.8,2026-06-27 14:00:46,2026-06-28 07:39:41,
2026-06-28 09:00:00,114.5,-8.29,39.86,77.35,-2.1,42.22,38.38,4434.0,4447.8,7670.7,2026-06-27 14:00:49,2026-06-28 08:39:24,
2026-06-28 10:00:00,36.79,-25.1,3.03,24.31,-21.45,-7.29,-2.64,4588.2,4714.5,7992.1,2026-06-27 14:00:51,2026-06-28 09:39:27,
2026-06-28 11:00:00,12.05,-34.99,-8.35,10.37,-17.0,-18.91,-12.31,3782.7,3964.0,6635.2,2026-06-27 14:00:53,2026-06-28 10:39:05,
2026-06-28 12:00:00,9.86,-38.08,-16.02,9.86,-20.01,-27.09,-20.71,4483.9,4302.3,7704.4,2026-06-27 14:00:56,2026-06-28 11:39:52,
2026-06-28 13:00:00,9.01,-52.8,-20.7,9.01,-39.85,-30.4,-27.4,4678.2,4608.3,8090.7,2026-06-27 14:00:58,2026-06-28 12:39:55,
2026-06-28 14:00:00,9.86,-50.0,-21.05,9.35,-39.95,-33.9,-28.39,4309.7,4267.4,7600.0,2026-06-27 14:01:00,2026-06-28 13:39:40,
2026-06-28 15:00:00,15.47,-44.05,-17.13,9.86,-5.51,-26.17,-23.5,4705.6,4800.4,8503.3,2026-06-27 14:01:02,2026-06-28 14:39:27,
2026-06-28 16:00:00,64.98,-25.57,-2.99,10.37,15.0,-6.66,-9.67,5115.7,5947.0,9403.6,2026-06-27 14:01:05,2026-06-28 15:39:26,
2026-06-28 17:00:00,128.25,-19.9,39.89,77.73,110.0,40.16,33.92,6193.7,6126.5,10703.5,2026-06-27 14:01:07,2026-06-28 16:39:26,
2026-06-28 18:00:00,197.99,31.33,90.67,112.69,95.38,87.71,90.71,5207.5,5493.1,9289.0,2026-06-27 14:20:25,2026-06-28 17:39:38,
2026-06-28 19:00:00,272.1,94.0,131.94,148.58,196.21,148.44,139.14,4456.7,4638.5,7729.8,2026-06-27 14:01:12,2026-06-28 18:39:45,
2026-06-28 20:00:00,186.97,107.9,149.16,159.46,162.51,156.92,154.65,4737.9,4746.8,8292.3,2026-06-27 14:01:14,2026-06-28 19:39:20,
2026-06-28 21:00:00,183.75,128.53,155.86,171.87,152.3,164.07,160.55,3856.4,3878.2,6729.1,2026-06-27 14:01:17,2026-06-28 20:39:24,
2026-06-28 22:00:00,294.87,135.81,157.7,160.65,173.26,167.88,163.93,3961.6,4079.1,7140.8,2026-06-27 14:01:20,2026-06-28 21:39:10,
2026-06-28 23:00:00,218.45,91.93,151.24,162.01,132.2,158.78,156.88,4067.7,4081.4,7365.6,2026-06-27 14:01:21,2026-06-28 22:39:48,
2026-06-29 00:00:00,221.32,61.75,133.11,133.87,152.4,134.66,134.43,2069.5,2158.7,3678.4,2026-06-28 14:15:05,2026-06-28 23:39:13,
2026-06-29 01:00:00,332.12,110.36,125.8,111.2,214.83,139.52,128.11,1855.0,2052.1,3391.0,2026-06-28 14:20:03,2026-06-29 00:39:57,
2026-06-29 02:00:00,1115.99,102.71,124.18,115.45,118.17,132.24,126.27,2387.5,2516.9,4080.8,2026-06-28 14:39:23,2026-06-29 01:39:34,
2026-06-29 03:00:00,152.37,96.5,120.9,116.03,128.47,123.4,122.01,2465.0,2541.0,4255.3,2026-06-28 14:27:45,2026-06-29 02:39:16,
2026-06-29 04:00:00,227.42,112.61,132.74,117.97,165.7,142.89,136.74,2570.6,2374.7,3952.1,2026-06-28 14:53:31,2026-06-29 03:39:45,
2026-06-29 05:00:00,232.36,119.17,147.22,130.9,186.0,160.09,152.68,3227.0,3319.1,5567.3,2026-06-28 14:23:28,2026-06-29 04:39:46,
2026-06-29 06:00:00,236.8,136.64,162.95,144.73,220.5,172.48,167.11,3325.0,3301.9,5695.1,2026-06-28 14:24:03,2026-06-29 05:39:37,
2026-06-29 07:00:00,418.99,116.46,167.29,152.6,400.0,176.07,171.63,4515.8,4309.4,7559.2,2026-06-28 14:07:44,2026-06-29 06:39:40,
2026-06-29 08:00:00,344.99,101.08,156.45,161.31,185.11,171.83,160.01,5163.1,4508.9,8370.5,2026-06-28 14:06:47,2026-06-29 07:39:49,
2026-06-29 09:00:00,264.49,78.72,133.55,154.58,160.0,137.69,135.63,4973.2,4300.3,8040.6,2026-06-28 14:20:41,2026-06-29 08:39:58,
2026-06-29 10:00:00,295.49,89.06,117.52,124.95,110.0,123.77,119.09,5862.2,4878.7,9068.2,2026-06-28 14:20:43,2026-06-29 09:39:53,
2026-06-29 11:00:00,168.5,91.86,110.15,98.9,168.0,114.75,111.56,5540.6,4969.8,9217.7,2026-06-28 14:07:52,2026-06-29 10:39:55,
2026-06-29 12:00:00,153.39,69.31,99.98,94.85,84.21,107.1,101.44,6021.9,5508.3,9744.1,2026-06-28 14:20:53,2026-06-29 11:38:56,
2026-06-29 13:00:00,122.77,-18.79,88.12,98.97,-15.0,75.76,86.89,5967.1,5884.2,10406.2,2026-06-28 14:06:47,2026-06-29 12:39:57,
