date,high,low,VWAP,open,close,VWAP1H,VWAP3H,buy_volume,sell_volume,transaction_volume,first_trade_date,last_trade_date,13
2026-09-03 00:00:00,221.28,118.65,179.88,180.14,118.65,178.37,180.42,2790.6,2634.7,4616.0,2026-09-02 14:20:00,2026-09-02 23:39:00,
2026-09-03 01:00:00,188.38,47.26,171.05,47.26,169.68,166.4,170.21,2509.0,2300.9,4152.8,2026-09-02 14:00:18,2026-09-03 00:39:21,
2026-09-03 02:00:00,258.83,138.38,157.3,141.26,155.0,159.82,157.52,2760.0,2686.3,4539.9,2026-09-02 14:33:12,2026-09-03 01:39:45,
2026-09-03 03:00:00,246.16,133.61,150.63,139.34,175.0,160.96,152.35,3369.7,3418.5,5526.2,2026-09-02 14:22:12,2026-09-03 02:39:40,
2026-09-03 04:00:00,184.85,130.56,148.24,141.48,172.99,158.97,152.46,3647.8,3710.4,6099.6,2026-09-02 14:02:42,2026-09-03 03:38:57,
2026-09-03 05:00:00,211.97,133.38,150.59,136.72,203.02,159.92,155.74,3611.3,3567.0,5908.8,2026-09-02 14:34:54,2026-09-03 04:38:59,
2026-09-03 06:00:00,218.9,142.46,174.03,169.16,175.04,187.02,179.5,3505.0,3416.0,5699.8,2026-09-02 14:00:23,2026-09-03 05:39:55,
2026-09-03 07:00:00,216.74,54.2,184.86,191.85,104.89,178.11,183.66,4544.6,4272.7,7178.1,2026-09-02 14:00:24,2026-09-03 06:39:33,
2026-09-03 08:00:00,214.26,-34.82,162.29,121.72,73.21,132.61,155.35,4748.6,5135.1,8334.6,2026-09-02 14:00:25,2026-09-03 07:39:40,
2026-09-03 09:00:00,232.88,16.83,120.15,30.09,115.0,107.95,111.77,6317.1,6928.6,11134.7,2026-09-02 14:00:27,2026-09-03 08:39:27,
2026-09-03 10:00:00,133.79,5.71,84.12,121.95,28.31,75.51,73.58,7072.2,7306.3,11989.4,2026-09-02 14:00:28,2026-09-03 09:39:48,
2026-09-03 11:00:00,112.8,-5.69,48.4,64.44,2.19,15.92,37.89,7139.1,6799.9,11438.6,2026-09-02 14:00:30,2026-09-03 10:39:27,
2026-09-03 12:00:00,84.02,-5.93,16.22,76.72,9.6,0.43,7.42,6129.6,6641.9,10514.9,2026-09-02 14:00:30,2026-09-03 11:39:38,
2026-09-03 13:00:00,67.27,-6.8,9.26,25.62,1.01,-0.86,0.53,6365.0,7038.4,10848.0,2026-09-02 14:16:40,2026-09-03 12:39:55,
2026-09-03 14:00:00,73.16,-4.73,7.33,27.29,7.48,0.38,-0.07,5427.2,6611.6,9979.7,2026-09-02 14:00:33,2026-09-03 13:39:00,
2026-09-03 15:00:00,89.47,-5.0,10.21,22.8,3.57,4.87,4.11,5591.7,6624.5,10060.5,2026-09-02 14:12:26,2026-09-03 14:39:57,
2026-09-03 16:00:00,109.02,-4.99,47.15,48.01,34.44,35.72,37.93,6228.8,7475.8,11473.8,2026-09-02 14:13:21,2026-09-03 15:39:54,
2026-09-03 17:00:00,168.27,2.15,104.2,140.36,148.17,98.78,103.58,6065.9,6917.6,10350.5,2026-09-02 14:00:38,2026-09-03 16:39:29,
2026-09-03 18:00:00,198.79,68.61,162.88,97.24,163.7,162.95,163.21,6402.6,7487.1,11445.3,2026-09-02 14:00:38,2026-09-03 17:39:45,
2026-09-03 19:00:00,229.96,-94.97,177.95,175.06,165.8,164.37,168.67,5284.1,6010.5,9401.1,2026-09-02 14:00:40,2026-09-03 18:39:48,
2026-09-03 20:00:00,230.52,130.3,188.39,175.57,166.0,161.42,176.03,6356.7,6893.7,10973.4,2026-09-02 14:00:41,2026-09-03 19:39:19,
2026-09-03 21:00:00,225.57,121.0,169.74,192.28,155.25,150.6,159.63,6401.7,6753.0,10881.7,2026-09-02 14:00:43,2026-09-03 20:39:18,
