date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2026-02-27 00:00:00,38.8,38.8,38.8,64.22,45.94,1.8,62.78,45.94,83.66,45.94,43.65,38.8,73.68,73.68,73.68,32.48,73.68,32.48,32.48,38.8,38.8
2026-02-27 00:15:00,29.27,29.27,29.27,65.01,43.88,5.01,60.68,49.38,86.0,49.38,49.38,29.27,72.33,72.33,72.33,29.27,72.33,29.27,29.27,29.27,29.27
2026-02-27 00:30:00,37.81,37.81,37.81,61.19,35.4,-2.65,59.84,47.68,75.99,47.68,47.68,37.81,71.56,71.56,71.56,27.9,71.56,27.9,27.9,37.81,37.81
2026-02-27 00:45:00,31.89,31.89,31.89,62.4,30.3,-15.0,59.1,45.6,59.1,45.6,45.6,31.89,71.49,71.49,71.49,27.74,71.49,27.0,27.0,31.89,31.89
2026-02-27 01:00:00,41.92,41.92,41.92,66.81,47.2,5.55,64.9,57.4,78.6,57.4,57.4,41.92,69.0,69.0,69.0,34.36,70.2,32.4,32.4,41.92,41.92
2026-02-27 01:15:00,33.5,33.5,33.5,63.0,41.7,0.01,62.04,52.24,74.69,52.24,52.24,33.5,69.0,69.0,69.0,34.06,73.6,30.6,30.6,33.5,33.5
2026-02-27 01:30:00,38.4,38.4,38.4,60.08,36.37,0.0,60.08,47.77,66.64,47.77,47.77,38.4,69.0,69.0,69.0,33.46,69.41,29.6,29.6,38.4,38.4
2026-02-27 01:45:00,32.65,32.65,32.65,59.32,33.73,-1.1,59.32,42.59,64.4,42.59,42.59,32.65,68.0,68.0,68.0,32.66,72.12,27.9,27.9,32.65,32.65
2026-02-27 02:00:00,39.72,39.72,39.72,69.14,40.42,0.01,61.29,54.73,70.77,54.73,54.73,39.72,70.84,70.84,70.84,31.61,70.84,31.61,31.61,39.72,39.72
2026-02-27 02:15:00,39.9,39.9,39.9,67.39,43.32,0.0,59.92,49.0,67.39,49.0,49.0,39.9,70.81,70.81,70.81,30.67,70.81,30.6,30.6,39.9,39.9
2026-02-27 02:30:00,33.0,33.0,33.0,64.02,37.48,0.0,60.08,50.2,64.02,50.2,50.2,33.0,70.88,70.88,70.88,33.27,70.88,30.6,30.6,33.0,33.0
2026-02-27 02:45:00,33.26,33.26,33.26,62.82,42.3,-2.22,59.42,48.07,62.82,48.07,42.0,33.26,71.02,71.02,71.02,34.17,71.02,29.8,29.8,33.26,33.26
2026-02-27 03:00:00,41.31,42.14,42.14,65.09,39.92,-2.22,61.28,55.29,65.09,55.29,55.29,41.31,67.03,67.03,67.03,35.89,67.03,35.89,35.89,41.31,42.14
2026-02-27 03:15:00,38.5,38.5,38.5,62.21,43.4,-3.0,59.04,50.21,62.21,50.21,42.0,38.5,67.04,67.04,67.04,36.47,67.04,35.6,35.6,38.5,38.5
2026-02-27 03:30:00,39.1,42.14,42.14,63.04,41.85,-3.0,62.68,49.1,67.63,49.1,42.14,39.1,67.04,67.04,67.04,38.07,67.04,35.8,35.8,39.1,42.14
2026-02-27 03:45:00,37.5,37.5,37.5,68.84,39.76,-5.02,65.0,53.4,73.63,53.4,40.89,37.5,68.37,68.37,68.37,40.49,68.37,37.07,37.07,37.5,37.5
2026-02-27 04:00:00,41.3,45.58,45.58,61.96,40.4,-3.0,59.43,48.25,69.83,48.25,45.58,41.3,69.35,69.35,69.35,65.54,69.35,41.3,41.3,41.3,45.58
2026-02-27 04:15:00,40.8,40.8,40.8,67.63,37.0,-6.08,62.72,50.08,77.81,50.08,48.03,40.8,70.0,70.0,70.0,40.47,70.0,37.71,37.71,40.8,40.8
2026-02-27 04:30:00,43.1,48.3,48.3,72.5,49.06,-4.87,65.1,52.85,88.78,52.85,48.3,43.1,71.2,71.2,71.2,40.68,71.2,39.3,39.3,43.1,48.3
2026-02-27 04:45:00,47.52,47.52,47.52,75.0,44.46,-10.87,65.1,64.02,86.97,64.02,47.52,47.52,70.34,70.34,70.34,45.51,70.34,41.06,41.06,47.52,47.52
2026-02-27 05:00:00,41.65,41.65,41.65,67.3,39.34,-2.22,60.99,58.6,83.73,56.14,41.65,41.65,71.2,71.2,71.2,61.69,71.2,41.65,41.65,41.65,41.65
2026-02-27 05:15:00,40.36,40.36,40.36,76.1,43.7,-2.22,64.88,59.6,94.73,49.84,40.36,40.36,71.51,71.51,71.51,69.38,71.51,40.36,40.36,40.36,40.36
2026-02-27 05:30:00,61.44,61.44,61.44,87.17,58.21,-1.56,70.72,69.2,103.25,64.0,57.01,61.44,72.24,72.24,72.24,72.24,72.24,56.01,47.9,57.01,57.01
2026-02-27 05:45:00,103.26,103.26,103.26,100.0,50.0,0.0,73.2,74.12,103.26,60.02,60.02,103.26,74.12,74.12,74.12,74.12,74.12,58.5,52.3,60.02,60.02
2026-02-27 06:00:00,36.41,36.41,36.41,86.02,42.24,3.0,64.79,53.13,129.01,53.13,36.41,36.41,74.19,74.19,74.19,34.61,74.19,34.61,34.61,36.41,36.41
2026-02-27 06:15:00,52.01,52.01,52.01,99.43,54.51,3.34,75.15,66.6,149.42,59.7,47.0,52.01,76.31,76.31,76.31,76.31,76.31,47.0,47.0,47.0,47.0
2026-02-27 06:30:00,83.22,83.22,83.22,108.44,69.81,3.0,77.2,76.5,170.12,66.64,66.63,83.22,81.99,66.64,81.99,81.99,81.99,72.0,66.63,66.63,66.63
2026-02-27 06:45:00,88.43,88.43,88.43,109.03,70.0,3.3,84.53,84.53,176.84,84.53,79.88,88.43,84.53,84.53,84.53,88.43,84.53,88.43,79.88,79.88,79.88
2026-02-27 07:00:00,57.21,57.21,57.21,106.69,64.1,0.0,84.96,76.99,151.59,76.99,76.99,57.21,86.58,85.3,85.3,64.31,85.3,57.21,57.21,57.21,57.21
2026-02-27 07:15:00,72.2,72.2,72.2,105.69,64.49,2.99,87.04,87.04,145.01,87.04,78.47,72.2,89.95,86.7,86.7,86.7,86.7,72.2,72.2,72.2,72.2
2026-02-27 07:30:00,82.13,82.13,82.13,104.7,69.3,14.44,87.5,87.5,130.99,87.5,87.5,82.13,90.48,87.5,87.5,87.41,87.5,76.68,76.68,81.02,82.13
2026-02-27 07:45:00,105.4,105.4,105.4,92.88,55.0,30.01,85.53,87.4,105.4,85.53,82.1,95.98,90.9,85.53,87.89,87.89,87.89,82.1,82.1,82.1,82.1
2026-02-27 08:00:00,97.12,97.12,97.12,101.47,77.87,30.01,97.12,97.12,97.12,97.12,73.45,67.73,92.1,92.1,92.1,92.1,92.1,67.73,66.8,66.8,66.8
2026-02-27 08:15:00,89.06,89.06,89.06,88.3,68.51,5.55,88.3,88.3,89.06,88.3,66.25,89.06,90.09,90.09,90.09,90.09,90.09,66.25,66.25,66.25,66.25
2026-02-27 08:30:00,77.96,77.96,77.96,77.96,56.7,3.36,77.96,77.96,77.96,77.96,70.05,77.96,81.19,81.19,81.19,81.19,81.19,65.6,65.6,65.6,70.05
2026-02-27 08:45:00,65.33,65.33,65.33,65.33,38.88,0.0,65.33,65.33,65.33,65.33,65.33,65.33,82.09,82.09,106.1,106.1,82.09,52.68,52.68,65.33,65.33
2026-02-27 09:00:00,88.82,88.82,88.82,84.54,63.3,13.01,73.41,94.6,89.21,82.87,65.0,88.82,82.87,82.87,82.87,65.0,82.87,65.0,65.0,65.0,65.0
2026-02-27 09:15:00,72.28,72.28,72.28,72.28,56.1,14.0,62.69,77.54,72.28,62.69,62.69,72.28,88.2,88.2,88.2,61.04,88.2,62.26,62.26,62.69,62.69
2026-02-27 09:30:00,64.1,64.1,64.1,53.79,42.4,14.6,53.79,62.2,53.79,62.2,62.2,64.1,86.65,86.65,89.4,45.0,86.65,45.0,45.0,62.2,62.2
2026-02-27 09:45:00,72.79,72.79,72.79,45.11,28.26,10.2,45.11,50.43,45.11,72.79,72.79,72.79,84.86,84.86,89.4,34.2,84.86,34.2,34.2,43.67,72.79
2026-02-27 10:00:00,91.19,91.19,91.19,53.0,42.48,7.58,53.0,74.9,53.0,74.9,74.9,91.19,87.32,87.32,87.32,84.78,87.32,54.34,54.34,74.9,74.9
2026-02-27 10:15:00,63.3,63.3,63.3,32.71,32.26,2.2,32.71,63.3,32.71,63.3,63.3,63.3,85.49,85.49,85.49,84.78,85.49,63.3,63.3,63.3,63.3
2026-02-27 10:30:00,47.6,47.6,47.6,19.0,19.9,0.0,19.0,47.6,19.0,47.6,47.6,47.6,84.82,84.82,84.82,63.19,84.82,47.6,47.6,47.6,47.6
2026-02-27 10:45:00,47.0,47.0,47.0,0.52,4.8,0.0,0.52,32.58,0.52,46.01,46.01,47.0,84.27,84.27,84.27,77.08,84.27,47.0,46.01,46.01,46.01
