date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-09-14 00:00:00,38.63,38.63,38.63,94.0,94.0,85.0,94.0,94.0,94.0,94.0,94.0,-9.15,51.04,56.75,20.94,2.4,51.04,-9.15,-101.05,24.95,24.95
2025-09-14 00:15:00,28.15,28.15,28.15,88.21,88.21,76.7,88.21,88.21,88.21,88.21,88.21,-34.99,51.04,56.75,20.94,6.45,51.04,-34.99,-41.9,28.15,28.15
2025-09-14 00:30:00,28.21,28.21,28.21,82.86,61.98,21.02,82.86,82.86,82.86,82.86,82.86,-34.99,51.04,56.75,20.94,6.4,51.04,-34.99,-41.9,28.21,28.21
2025-09-14 00:45:00,28.22,28.22,28.22,77.33,7.53,-3.76,77.33,77.33,77.33,77.33,77.33,-34.99,51.04,63.63,20.94,6.4,51.04,-34.99,4.85,28.22,28.22
2025-09-14 01:00:00,75.03,75.03,75.03,81.99,81.99,37.09,81.99,81.99,105.0,81.99,81.99,-8.02,46.75,81.99,11.59,4.64,39.0,-8.02,-11.99,46.75,75.03
2025-09-14 01:15:00,68.8,68.8,68.8,77.93,31.16,17.91,77.93,77.93,99.05,77.93,77.93,-26.48,45.44,77.93,11.59,6.15,39.0,-26.48,-9.05,45.44,68.8
2025-09-14 01:30:00,75.03,75.03,75.03,76.98,30.9,17.32,76.98,76.98,99.02,76.98,76.98,-34.99,61.27,76.98,11.6,6.15,39.0,-34.99,5.95,61.27,75.03
2025-09-14 01:45:00,34.08,34.08,34.08,74.9,-0.32,-0.32,74.9,74.9,101.41,74.9,74.9,-34.99,45.13,74.9,11.59,6.15,39.0,-34.99,6.0,34.08,34.08
2025-09-14 02:00:00,64.1,64.1,64.1,78.39,78.39,30.01,78.39,78.39,105.94,78.39,78.39,-8.01,44.83,62.4,11.59,5.8,38.95,-8.01,-62.22,33.9,64.1
2025-09-14 02:15:00,33.9,33.9,33.9,72.79,72.79,15.18,72.79,72.79,110.45,72.79,72.79,-8.01,44.83,62.4,11.59,5.8,38.95,-8.01,-62.22,33.9,33.9
