date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2024-10-16 00:00:00,24.53,24.53,24.53,59.43,55.91,49.45,55.91,55.91,101.89,24.53,24.53,8.5,24.53,24.53,8.5,8.5,24.53,8.5,8.5,8.5,8.5
2024-10-16 00:15:00,24.53,24.53,24.53,32.52,42.98,49.45,42.98,42.98,101.89,24.53,24.53,8.5,24.53,24.53,8.5,8.5,24.53,8.5,8.5,8.5,8.5
2024-10-16 00:30:00,24.53,24.53,24.53,19.01,6.25,-0.39,6.25,6.25,101.89,24.53,24.53,8.5,24.53,24.53,8.5,8.5,24.53,8.5,8.5,8.5,8.5
2024-10-16 00:45:00,24.53,24.53,24.53,5.8,-7.02,-0.39,-7.02,-7.02,101.89,24.53,24.53,8.5,24.53,24.53,8.5,8.5,24.53,8.5,8.5,8.5,8.5
2024-10-16 01:00:00,8.5,8.5,8.5,34.92,44.48,13.36,44.48,44.48,90.81,8.5,8.5,6.68,8.5,8.5,6.68,6.68,8.5,6.68,6.68,6.68,6.68
2024-10-16 01:15:00,8.5,8.5,8.5,23.76,-17.76,13.36,-17.76,-17.76,90.81,8.5,8.5,6.68,8.5,8.5,6.68,6.68,8.5,6.68,6.68,6.68,6.68
2024-10-16 01:30:00,8.5,8.5,8.5,9.22,6.5,3.65,6.5,6.5,90.81,8.5,8.5,6.68,8.5,8.5,6.68,6.68,8.5,6.68,6.68,6.68,6.68
2024-10-16 01:45:00,8.5,8.5,8.5,0.99,0.79,3.65,0.79,0.79,90.81,8.5,8.5,6.68,8.5,8.5,6.68,6.68,8.5,6.68,6.68,6.68,6.68
2024-10-16 02:00:00,2.76,2.76,2.76,27.35,34.5,12.04,34.5,34.5,86.23,2.76,2.76,2.76,2.76,2.76,2.88,2.88,2.88,2.76,2.76,2.76,2.76
2024-10-16 02:15:00,2.76,2.76,2.76,14.74,-10.42,12.04,-10.42,-10.42,86.23,2.76,2.76,2.76,2.76,2.76,2.88,2.88,2.88,2.76,2.76,2.76,2.76
2024-10-16 02:30:00,2.76,2.76,2.76,6.75,-8.59,-6.51,-8.59,-8.59,86.23,2.76,2.76,2.76,2.76,2.76,2.88,2.88,2.88,2.76,2.76,2.76,2.76
2024-10-16 02:45:00,2.76,2.76,2.76,1.45,-4.43,-6.51,-4.43,-4.43,86.23,2.76,2.76,2.76,2.76,2.76,2.88,2.88,2.88,2.76,2.76,2.76,2.76
2024-10-16 03:00:00,5.21,5.21,5.21,22.97,12.59,5.6,12.59,12.59,86.23,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21
2024-10-16 03:15:00,5.21,5.21,5.21,0.91,1.63,5.6,1.63,1.63,86.23,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21
2024-10-16 03:30:00,5.21,5.21,5.21,0.39,3.6,-2.8,3.6,3.6,86.23,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21
2024-10-16 03:45:00,5.21,5.21,5.21,-0.09,3.0,-2.8,3.0,3.0,86.23,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21
2024-10-16 04:00:00,4.32,4.32,4.32,-12.31,-7.29,-6.15,-7.29,-7.29,86.23,4.32,4.32,4.32,4.32,4.32,12.85,12.85,12.85,4.32,4.32,4.32,4.32
2024-10-16 04:15:00,4.32,4.32,4.32,-12.29,-5.0,-6.15,-5.0,-5.0,86.23,4.32,4.32,4.32,4.32,4.32,12.85,12.85,12.85,4.32,4.32,4.32,4.32
2024-10-16 04:30:00,4.32,4.32,4.32,1.34,4.59,0.13,4.59,4.59,86.23,4.32,4.32,4.32,4.32,4.32,12.85,12.85,12.85,4.32,4.32,4.32,4.32
