date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2026-01-06 00:00:00,196.51,196.51,196.51,134.87,134.87,134.87,134.87,134.87,134.87,134.87,134.87,196.51,134.87,134.87,134.87,134.87,134.87,134.87,134.87,134.87,134.87
2026-01-06 00:15:00,188.49,188.49,188.49,127.2,127.2,127.2,127.2,127.2,127.2,127.2,127.2,188.49,127.2,127.2,127.2,127.2,127.2,127.2,127.2,127.2,127.2
2026-01-06 00:30:00,175.53,175.53,175.53,117.79,117.79,117.79,117.79,117.79,117.79,117.79,117.79,175.53,117.79,117.79,117.79,117.79,117.79,117.79,117.79,117.79,117.79
2026-01-06 00:45:00,162.56,162.56,162.56,111.78,111.78,111.78,111.78,111.78,111.78,111.78,111.78,162.56,111.78,111.78,111.78,111.78,111.78,111.78,111.78,111.78,111.78
2026-01-06 01:00:00,149.6,149.6,149.6,114.19,114.19,114.19,114.19,114.19,114.19,114.19,114.19,149.6,114.19,114.19,114.19,114.19,114.19,114.19,114.19,114.19,114.19
2026-01-06 01:15:00,188.49,188.49,188.49,117.03,117.03,117.03,117.03,117.03,117.03,117.03,117.03,188.49,5037.61,117.03,117.03,117.03,117.03,117.03,117.03,117.03,117.03
2026-01-06 01:30:00,188.49,188.49,188.49,114.38,114.38,114.38,114.38,114.38,114.38,114.38,114.38,188.49,5035.52,114.38,114.38,114.38,114.38,131.0,114.38,114.38,114.38
2026-01-06 01:45:00,143.11,143.11,143.11,114.03,114.03,114.03,114.03,114.03,114.03,114.03,114.03,143.11,5033.43,114.03,114.03,114.03,114.03,114.03,114.03,114.03,114.03
2026-01-06 02:00:00,143.11,143.11,143.11,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,143.11,5036.56,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
2026-01-06 02:15:00,162.56,162.56,162.56,118.89,118.89,118.89,118.89,118.89,118.89,118.89,118.89,162.56,5034.47,118.89,118.89,118.89,118.89,118.89,118.89,118.89,118.89
2026-01-06 02:30:00,143.11,143.11,143.11,115.78,115.78,115.78,115.78,115.78,115.78,115.78,115.78,143.11,5034.47,115.78,115.78,115.78,115.78,115.78,115.78,115.78,115.78
