date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2024-10-04 00:00:00,83.7,83.7,83.7,92.83,92.83,90.18,92.83,92.83,83.7,83.7,83.7,37.06,37.06,40.79,17.62,17.62,37.06,17.62,17.62,37.06,37.06
2024-10-04 00:15:00,83.7,83.7,83.7,87.53,87.53,90.18,87.53,87.53,83.7,83.7,83.7,37.06,37.06,40.79,17.62,17.62,37.06,17.62,17.62,37.06,37.06
2024-10-04 00:30:00,83.7,83.7,83.7,78.41,78.41,77.22,78.41,78.41,83.7,83.7,83.7,37.06,37.06,40.79,17.62,17.62,37.06,17.62,17.62,37.06,37.06
2024-10-04 00:45:00,83.7,83.7,83.7,76.04,76.04,77.22,76.04,76.04,83.7,83.7,83.7,37.06,37.06,40.79,17.62,17.62,37.06,17.62,17.62,37.06,37.06
2024-10-04 01:00:00,80.0,80.0,80.0,86.17,86.17,85.24,86.17,86.17,82.6,80.0,80.0,24.99,41.75,50.7,16.3,16.3,41.75,16.3,16.3,24.99,24.99
2024-10-04 01:15:00,80.0,80.0,80.0,84.31,84.31,85.24,84.31,84.31,82.6,80.0,80.0,24.99,41.75,50.7,16.3,16.3,41.75,16.3,16.3,24.99,24.99
2024-10-04 01:30:00,80.0,80.0,80.0,77.51,77.51,74.76,77.51,77.51,82.6,80.0,80.0,24.99,41.75,50.7,16.3,16.3,41.75,16.3,16.3,24.99,24.99
2024-10-04 01:45:00,80.0,80.0,80.0,72.01,72.01,74.76,72.01,72.01,82.6,80.0,80.0,24.99,41.75,50.7,16.3,16.3,41.75,16.3,16.3,24.99,24.99
2024-10-04 02:00:00,69.53,69.53,69.53,81.75,81.75,79.98,81.75,81.75,82.67,81.27,81.27,20.99,33.37,40.64,15.7,15.7,33.37,15.7,15.7,20.99,20.99
2024-10-04 02:15:00,69.53,69.53,69.53,66.88,78.21,79.98,78.21,78.21,82.67,81.27,81.27,20.99,33.37,40.64,15.7,15.7,33.37,15.7,15.7,20.99,20.99
2024-10-04 02:30:00,69.53,69.53,69.53,64.25,80.5,82.55,80.5,80.5,82.67,81.27,81.27,20.99,33.37,40.64,15.7,15.7,33.37,15.7,15.7,20.99,20.99
2024-10-04 02:45:00,69.53,69.53,69.53,53.93,84.6,82.55,84.6,84.6,82.67,81.27,81.27,20.99,33.37,40.64,15.7,15.7,33.37,15.7,15.7,20.99,20.99
2024-10-04 03:00:00,67.33,67.33,67.33,77.61,85.22,80.68,85.22,85.22,84.23,82.19,82.19,15.99,33.27,40.64,15.45,15.45,33.27,15.45,15.45,15.99,15.99
2024-10-04 03:15:00,67.33,67.33,67.33,61.37,76.13,80.68,76.13,76.13,84.23,82.19,82.19,15.99,33.27,40.64,15.45,15.45,33.27,15.45,15.45,15.99,15.99
2024-10-04 03:30:00,67.33,67.33,67.33,60.92,82.8,80.33,82.8,82.8,84.23,82.19,82.19,15.99,33.27,40.64,15.45,15.45,33.27,15.45,15.45,15.99,15.99
2024-10-04 03:45:00,67.33,67.33,67.33,61.82,84.61,80.33,84.61,84.61,84.23,82.19,82.19,15.99,33.27,40.64,15.45,15.45,33.27,15.45,15.45,15.99,15.99
2024-10-04 04:00:00,79.29,79.29,79.29,69.67,73.01,76.36,73.01,73.01,81.37,80.12,80.12,20.99,33.12,40.69,15.95,15.95,33.12,15.95,15.95,20.99,20.99
2024-10-04 04:15:00,79.29,79.29,79.29,79.7,79.7,76.36,79.7,79.7,81.37,80.12,80.12,20.99,33.12,40.69,15.95,15.95,33.12,15.95,15.95,20.99,20.99
2024-10-04 04:30:00,79.29,79.29,79.29,84.77,84.77,61.51,84.77,104.43,81.37,80.12,80.12,20.99,33.12,40.69,15.95,15.95,33.12,15.95,15.95,20.99,20.99
2024-10-04 04:45:00,79.29,79.29,79.29,83.0,79.6,61.51,83.0,102.0,81.37,80.12,80.12,20.99,33.12,40.69,15.95,15.95,33.12,15.95,15.95,20.99,20.99
2024-10-04 05:00:00,80.01,80.01,80.01,77.83,77.83,69.79,77.83,77.83,81.37,80.01,80.01,41.44,41.44,50.7,16.45,16.45,41.44,16.45,16.45,41.44,41.44
2024-10-04 05:15:00,80.01,80.01,80.01,73.38,73.38,69.79,73.38,73.38,81.37,80.01,80.01,41.44,41.44,50.7,16.45,16.45,41.44,16.45,16.45,41.44,41.44
2024-10-04 05:30:00,80.01,80.01,80.01,82.11,82.11,84.41,82.11,82.11,81.37,80.01,80.01,41.44,41.44,50.7,16.45,16.45,41.44,16.45,16.45,41.44,41.44
2024-10-04 05:45:00,80.01,80.01,80.01,86.71,86.71,84.41,86.71,86.71,81.37,80.01,80.01,41.44,41.44,50.7,16.45,16.45,41.44,16.45,16.45,41.44,41.44
2024-10-04 06:00:00,105.22,105.22,105.22,88.44,88.44,88.0,88.44,88.44,105.22,105.22,105.22,49.0,49.0,49.0,22.6,22.6,49.0,22.6,22.6,49.0,49.0
2024-10-04 06:15:00,105.22,105.22,105.22,98.77,98.77,88.0,98.77,98.77,105.22,105.22,105.22,49.0,49.0,49.0,22.6,22.6,49.0,22.6,22.6,49.0,49.0
2024-10-04 06:30:00,105.22,105.22,105.22,115.22,115.22,116.84,115.22,115.22,105.22,105.22,105.22,49.0,49.0,49.0,22.6,22.6,49.0,22.6,22.6,49.0,49.0
2024-10-04 06:45:00,105.22,105.22,105.22,118.47,118.47,116.84,118.47,118.47,105.22,105.22,105.22,49.0,49.0,49.0,22.6,22.6,49.0,22.6,22.6,49.0,49.0
2024-10-04 07:00:00,148.07,148.07,148.07,107.0,107.0,108.8,107.0,107.0,148.07,131.0,131.0,131.0,131.0,131.0,29.58,29.58,46.35,29.58,29.58,131.0,131.0
2024-10-04 07:15:00,148.07,148.07,148.07,117.13,117.13,108.8,117.13,117.13,148.07,131.0,131.0,131.0,131.0,131.0,29.58,29.58,46.35,29.58,29.58,131.0,131.0
2024-10-04 07:30:00,148.07,148.07,148.07,141.98,141.98,149.94,141.98,141.98,148.07,131.0,131.0,131.0,131.0,131.0,29.58,29.58,46.35,29.58,29.58,131.0,131.0
2024-10-04 07:45:00,148.07,148.07,148.07,157.91,157.91,149.94,157.91,157.91,148.07,131.0,131.0,131.0,131.0,131.0,29.58,29.58,46.35,29.58,29.58,131.0,131.0
