date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4,SYS
2026-03-27 00:00:00,48.39,111.83,111.83,124.51,124.51,124.51,124.51,124.51,124.51,124.51,124.48,13.06,115.35,116.92,67.68,16.47,112.63,13.21,9.14,48.21,120.84,63.63
2026-03-27 00:15:00,72.5,72.5,72.5,122.32,120.66,120.86,120.29,120.5,112.75,120.29,120.26,10.33,115.0,116.5,66.99,13.41,112.41,10.49,6.47,46.19,81.65,60.9
2026-03-27 00:30:00,96.0,96.0,96.0,119.03,117.48,117.66,117.14,117.33,110.1,117.14,117.11,9.89,114.41,115.94,66.27,13.07,111.77,10.04,5.99,45.72,105.16,59.99
2026-03-27 00:45:00,88.67,88.67,88.67,117.47,115.96,116.14,115.63,115.82,108.78,115.63,115.6,10.16,114.2,115.95,64.65,14.21,111.18,10.33,5.98,46.08,97.91,59.99
2026-03-27 01:00:00,69.9,96.01,69.9,124.02,122.5,122.67,122.15,122.34,115.21,122.15,122.12,9.77,114.76,116.43,67.03,13.5,111.89,9.93,5.0,46.35,105.28,60.95
2026-03-27 01:15:00,58.11,106.53,58.11,121.2,119.73,119.9,119.4,119.58,112.7,119.4,119.37,10.72,113.89,115.59,66.59,14.6,110.98,10.88,5.96,46.73,115.66,60.16
2026-03-27 01:30:00,44.93,106.55,44.93,119.95,119.44,119.5,119.33,119.39,117.01,119.33,119.3,11.38,113.84,115.53,66.91,15.21,110.96,11.54,6.66,47.14,115.62,59.99
2026-03-27 01:45:00,56.19,104.46,56.19,119.3,117.52,117.73,117.12,117.34,109.03,117.12,117.09,12.04,113.34,115.04,66.64,15.97,110.42,12.2,7.32,47.43,113.45,57.21
2026-03-27 02:00:00,42.0,108.04,42.0,120.92,120.92,120.92,120.92,120.92,120.92,120.92,120.89,10.13,113.77,115.42,65.62,13.79,110.96,10.27,4.09,46.62,117.17,62.42
2026-03-27 02:15:00,41.86,105.5,41.86,118.14,118.14,118.14,118.14,118.14,118.14,118.14,118.11,10.9,112.81,114.39,65.74,14.34,110.11,11.03,5.01,46.73,114.46,59.42
2026-03-27 02:30:00,42.84,103.34,42.84,115.3,115.3,115.3,115.3,115.3,115.3,115.3,115.28,12.25,110.49,111.71,67.27,14.44,108.39,12.37,7.01,46.46,111.82,50.5
2026-03-27 02:45:00,42.93,103.26,42.93,115.01,115.01,115.01,115.01,115.01,115.01,115.01,114.98,14.44,110.07,111.4,66.98,17.1,107.79,14.56,9.14,47.9,111.59,54.68
2026-03-27 03:00:00,10.49,104.08,10.49,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.47,10.49,111.33,112.82,64.86,13.42,108.9,10.61,4.1,45.77,112.83,58.79
2026-03-27 03:15:00,12.26,106.49,12.26,119.49,119.49,119.49,119.49,119.49,119.49,119.49,119.46,12.26,113.29,115.55,61.57,18.03,109.61,12.41,4.73,48.43,115.65,71.03
2026-03-27 03:30:00,24.64,104.65,24.64,117.0,117.0,117.0,117.0,117.0,117.0,117.0,116.97,13.94,111.27,113.22,62.96,18.65,108.09,14.07,7.01,48.54,113.35,61.44
2026-03-27 03:45:00,24.99,106.03,24.99,118.34,118.34,118.34,118.34,118.34,118.34,118.34,118.31,16.97,112.29,114.49,62.99,22.68,108.7,17.11,9.75,51.17,114.7,69.07
