date,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4,SYS
2025-10-18 00:00:00,132.37,132.37,132.37,115.85,93.86,92.54,93.61,93.53,103.16,93.61,93.48,132.19,52.77,71.98,30.43,1.39,51.97,5.58,3.8,78.83,68.68,53.02
2025-10-18 00:15:00,100.13,100.13,100.13,121.0,104.07,103.6,103.62,103.71,96.33,103.62,103.38,100.0,52.92,71.94,29.28,1.37,51.97,5.12,3.8,64.54,59.19,52.9
2025-10-18 00:30:00,88.91,88.91,88.91,119.78,93.7,92.14,93.4,93.31,93.99,93.4,93.2,88.79,52.78,71.87,28.79,1.36,51.8,4.97,3.8,59.49,55.46,51.97
2025-10-18 00:45:00,85.03,85.03,85.03,113.46,88.24,87.12,87.83,87.81,75.82,87.83,87.64,84.91,52.19,71.83,28.38,1.34,51.28,4.97,3.8,57.51,53.82,50.97
2025-10-18 01:00:00,105.58,105.58,105.58,113.46,97.49,98.56,96.35,96.84,92.7,96.35,96.16,105.44,51.73,71.98,29.17,1.23,50.97,5.25,3.76,66.23,60.07,51.26
2025-10-18 01:15:00,94.8,94.8,94.8,112.61,91.03,92.03,89.71,90.25,92.11,89.71,89.53,94.68,51.78,71.94,28.78,1.21,50.97,4.99,3.77,61.47,56.66,50.92
2025-10-18 01:30:00,86.36,86.36,86.36,101.69,87.79,88.69,86.82,87.24,79.02,86.82,86.64,86.24,51.82,71.9,28.47,1.19,50.97,4.97,3.78,57.74,54.05,49.96
2025-10-18 01:45:00,79.65,79.65,79.65,100.1,87.07,87.07,86.56,86.72,79.65,86.56,86.37,79.55,51.86,71.85,28.23,1.17,50.97,4.97,3.78,54.78,52.02,49.04
2025-10-18 02:00:00,90.97,90.97,90.97,109.5,97.66,97.66,97.2,97.36,90.97,97.2,96.99,90.86,51.58,71.8,28.41,1.15,50.77,4.99,3.77,59.6,55.52,50.0
2025-10-18 02:15:00,82.39,82.39,82.39,104.23,90.55,91.01,89.8,90.12,82.39,89.8,89.61,82.29,51.69,71.74,28.13,1.15,50.82,4.97,3.78,55.84,52.79,49.77
2025-10-18 02:30:00,80.24,80.24,80.24,100.09,87.21,86.87,86.87,86.95,80.24,86.87,86.69,80.14,51.72,71.7,28.07,1.14,50.84,4.97,3.78,54.9,52.09,49.05
2025-10-18 02:45:00,79.0,79.0,79.0,98.1,85.71,85.38,85.38,85.46,79.0,85.38,85.2,78.91,51.71,71.65,28.01,1.13,50.81,4.97,3.78,54.35,51.68,48.09
